trip_id,vehicle_id,longitude,latitude,tstamp,speed
241901730,3905,-122.55791,45.541847,2023-01-20 15:37:36,15.6
241901730,3905,-122.557863,45.542473,2023-01-20 15:37:41,13.8
241901730,3905,-122.557835,45.543072,2023-01-20 15:37:46,13.2
241901730,3905,-122.557825,45.543662,2023-01-20 15:37:51,13.0
241901730,3905,-122.557807,45.5443,2023-01-20 15:37:56,14.2
241901730,3905,-122.5578,45.544963,2023-01-20 15:38:01,14.4
241901730,3905,-122.557792,45.545623,2023-01-20 15:38:06,14.6
241901730,3905,-122.557785,45.546265,2023-01-20 15:38:11,14.0
241901730,3905,-122.557767,45.546902,2023-01-20 15:38:16,14.0
241901730,3905,-122.557743,45.547535,2023-01-20 15:38:21,13.8
241901730,3905,-122.557718,45.548077,2023-01-20 15:38:26,12.0
241901730,3905,-122.557688,45.548353,2023-01-20 15:38:31,6.0
241901762,3905,-122.545725,45.551788,2023-01-20 16:10:00,5.065643197458973
241901762,3905,-122.546273,45.551788,2023-01-20 16:10:05,8.4
241901762,3905,-122.5468,45.551793,2023-01-20 16:10:10,8.0
241901762,3905,-122.547252,45.55179,2023-01-20 16:10:15,6.8
241901762,3905,-122.547452,45.55179,2023-01-20 16:10:20,2.6
241901762,3905,-122.547697,45.551783,2023-01-20 16:10:25,4.4
241901762,3905,-122.548215,45.55178,2023-01-20 16:10:30,8.2
241901762,3905,-122.548692,45.551788,2023-01-20 16:10:35,7.2
241901762,3905,-122.549113,45.551778,2023-01-20 16:10:40,6.6
241901762,3905,-122.54969,45.551787,2023-01-20 16:10:45,9.0
241901762,3905,-122.55028,45.551788,2023-01-20 16:10:50,9.0
241901762,3905,-122.550597,45.551788,2023-01-20 16:10:55,4.2
241901762,3905,-122.550792,45.551787,2023-01-20 16:11:00,3.6
241901762,3905,-122.551248,45.551783,2023-01-20 16:11:05,7.2
241901762,3905,-122.551762,45.551785,2023-01-20 16:11:10,8.0
241901762,3905,-122.552307,45.551788,2023-01-20 16:11:15,8.4
241901762,3905,-122.55285,45.551787,2023-01-20 16:11:20,8.4
241901762,3905,-122.553355,45.551787,2023-01-20 16:11:25,7.8
241901762,3905,-122.553858,45.55178,2023-01-20 16:11:30,7.8
241901762,3905,-122.554335,45.551785,2023-01-20 16:11:35,7.2
241901762,3905,-122.554622,45.551795,2023-01-20 16:11:40,3.8
241901762,3905,-122.555173,45.551792,2023-01-20 16:12:05,1.84
241901762,3905,-122.555655,45.551792,2023-01-20 16:12:10,7.4
241901762,3905,-122.556132,45.551793,2023-01-20 16:12:15,7.4
241901762,3905,-122.556625,45.551795,2023-01-20 16:12:20,7.6
241901762,3905,-122.557085,45.551798,2023-01-20 16:12:25,7.0
241901762,3905,-122.557488,45.5518,2023-01-20 16:12:30,6.0
241901762,3905,-122.557652,45.551807,2023-01-20 16:12:35,2.2
241901762,3905,-122.557755,45.551803,2023-01-20 16:12:50,0.6
241901762,3905,-122.557943,45.551212,2023-01-20 16:13:00,7.4
241901762,3905,-122.557953,45.550767,2023-01-20 16:13:05,9.6
241901762,3905,-122.557982,45.550552,2023-01-20 16:13:10,3.8
241901762,3905,-122.557925,45.549988,2023-01-20 16:13:35,2.64
241901762,3905,-122.557903,45.549523,2023-01-20 16:13:40,10.4
241901762,3905,-122.557882,45.548995,2023-01-20 16:13:45,11.6
241901762,3905,-122.557853,45.548465,2023-01-20 16:13:50,11.6
241901762,3905,-122.557847,45.54734,2023-01-20 16:14:00,12.4
241901762,3905,-122.557847,45.546767,2023-01-20 16:14:05,12.6
241901762,3905,-122.557852,45.546192,2023-01-20 16:14:10,12.6
241901762,3905,-122.557863,45.545583,2023-01-20 16:14:15,13.6
241901762,3905,-122.557875,45.544977,2023-01-20 16:14:20,13.2
241901762,3905,-122.557885,45.544388,2023-01-20 16:14:25,12.8
241901762,3905,-122.5579,45.543818,2023-01-20 16:14:30,12.4
241901762,3905,-122.557913,45.54328,2023-01-20 16:14:35,12.0
241901762,3905,-122.557973,45.542032,2023-01-20 16:14:45,13.8
241901762,3905,-122.558002,45.541375,2023-01-20 16:14:50,14.6
241901762,3905,-122.558015,45.540707,2023-01-20 16:14:55,14.4
241901762,3905,-122.558068,45.540195,2023-01-20 16:15:00,10.8
241901762,3905,-122.558102,45.539985,2023-01-20 16:15:05,3.8
241901762,3905,-122.558057,45.539508,2023-01-20 16:15:31,2.230769230769231
241901762,3905,-122.558047,45.538975,2023-01-20 16:15:36,12.2
241901762,3905,-122.558052,45.538307,2023-01-20 16:15:41,14.8
241901762,3905,-122.558068,45.53763,2023-01-20 16:15:46,14.8
241901762,3905,-122.558082,45.537013,2023-01-20 16:15:51,13.2
241901762,3905,-122.558137,45.536592,2023-01-20 16:15:57,7.0
241901762,3905,-122.558143,45.536538,2023-01-20 16:16:01,1.0
241901762,3905,-122.558103,45.536085,2023-01-20 16:16:27,2.1153846153846154
241901762,3905,-122.558105,45.535528,2023-01-20 16:16:33,10.333333333333334
241901762,3905,-122.558128,45.534925,2023-01-20 16:16:39,11.166666666666666
