trip_id,vehicle_id
227822782.0,3625.0
227822828.0,3625.0
227822397.0,3625.0
227822414.0,3625.0
227822461.0,3625.0
227822688.0,3625.0
227822734.0,3625.0
227822506.0,3625.0
227822546.0,3625.0
227822595.0,3625.0
227822639.0,3625.0
227822869.0,3625.0
227756849.0,3648.0
227756622.0,3648.0
227756640.0,3648.0
227756895.0,3648.0
227756685.0,3648.0
227756937.0,3648.0
227756726.0,3648.0
227756980.0,3648.0
227756987.0,3648.0
227756771.0,3648.0
227756792.0,3648.0
227756809.0,3648.0
227726341.0,3166.0
227726402.0,3166.0
227726456.0,3166.0
227726521.0,3166.0
227726579.0,3166.0
227726637.0,3166.0
227726692.0,3166.0
227726750.0,3166.0
227726801.0,3166.0
227726866.0,3166.0
227726919.0,3166.0
227726982.0,3166.0
227726318.0,3166.0
227727035.0,3166.0
227694117.0,3957.0
227694226.0,3957.0
227694340.0,3957.0
227694453.0,3957.0
227694567.0,3957.0
227694674.0,3957.0
227694914.0,3957.0
227695030.0,3957.0
227695262.0,3957.0
227694101.0,3957.0
227694791.0,3957.0
227695314.0,3957.0
227695152.0,3957.0
227695157.0,3957.0
227695163.0,3957.0
227695360.0,3957.0
227603295.0,3516.0
227603319.0,3516.0
227603422.0,3516.0
227603529.0,3516.0
227603632.0,3516.0
227603744.0,3516.0
227603862.0,3516.0
227603976.0,3516.0
227604081.0,3516.0
227604195.0,3516.0
227604296.0,3516.0
227604383.0,3516.0
227604484.0,3516.0
227604340.0,3516.0
228213973.0,4050.0
228213728.0,4050.0
228214104.0,4050.0
228214233.0,4050.0
228214742.0,4050.0
228214497.0,4050.0
228214866.0,4050.0
228213851.0,4050.0
228213598.0,4050.0
228214369.0,4050.0
228213610.0,4050.0
228214624.0,4050.0
227650904.0,3039.0
227650915.0,3039.0
227650955.0,3039.0
227651000.0,3039.0
227651035.0,3039.0
227781384.0,2901.0
227781212.0,2901.0
227781409.0,2901.0
227781239.0,2901.0
227781270.0,2901.0
227781452.0,2901.0
227781311.0,2901.0
227781354.0,2901.0
227807816.0,3254.0
227807887.0,3254.0
227807962.0,3254.0
227808023.0,3254.0
227807531.0,3254.0
227807547.0,3254.0
227807617.0,3254.0
227807627.0,3254.0
227807692.0,3254.0
227807752.0,3254.0
227808407.0,3254.0
227808476.0,3254.0
227808538.0,3254.0
227808600.0,3254.0
227807595.0,3254.0
227808147.0,3254.0
227808215.0,3254.0
227808282.0,3254.0
227808088.0,3254.0
227808663.0,3254.0
227808346.0,3254.0
227683618.0,3741.0
227683676.0,3741.0
227683738.0,3741.0
227683798.0,3741.0
227683861.0,3741.0
227683542.0,3741.0
227683555.0,3741.0
228209484.0,3556.0
228209574.0,3556.0
228209665.0,3556.0
228209709.0,3556.0
228209754.0,3556.0
228209798.0,3556.0
228209238.0,3556.0
228209289.0,3556.0
228209334.0,3556.0
228209382.0,3556.0
228209430.0,3556.0
228209525.0,3556.0
228209617.0,3556.0
228209845.0,3556.0
228209196.0,3556.0
228209052.0,3556.0
228209101.0,3556.0
228208898.0,3556.0
228208918.0,3556.0
228209148.0,3556.0
228208962.0,3556.0
228209007.0,3556.0
227838117.0,3940.0
227838134.0,3940.0
227838155.0,3940.0
227837953.0,3940.0
227837969.0,3940.0
227837993.0,3940.0
227838018.0,3940.0
227838043.0,3940.0
227838068.0,3940.0
227838091.0,3940.0
227838269.0,3940.0
227838461.0,3940.0
227838515.0,3940.0
227838213.0,3940.0
227838331.0,3940.0
227838395.0,3940.0
227746398.0,3540.0
227746610.0,3540.0
227746807.0,3540.0
227746874.0,3540.0
227746999.0,3540.0
227747186.0,3540.0
227746415.0,3540.0
227746675.0,3540.0
227747055.0,3540.0
227746480.0,3540.0
227746744.0,3540.0
227746546.0,3540.0
227746937.0,3540.0
227747120.0,3540.0
227770968.0,3956.0
227770989.0,3956.0
227771042.0,3956.0
227771100.0,3956.0
227771152.0,3956.0
227771252.0,3956.0
227771310.0,3956.0
227771202.0,3956.0
227771356.0,3956.0
227765276.0,3921.0
227764981.0,3921.0
227764995.0,3921.0
227765027.0,3921.0
227765053.0,3921.0
227765086.0,3921.0
227765173.0,3921.0
227765219.0,3921.0
227765247.0,3921.0
227765310.0,3921.0
227765114.0,3921.0
227765143.0,3921.0
227765384.0,3921.0
227765415.0,3921.0
227765447.0,3921.0
227765491.0,3921.0
227765355.0,3921.0
227765552.0,3921.0
227765519.0,3921.0
228229247.0,3560.0
228229438.0,3560.0
228229537.0,3560.0
228229627.0,3560.0
228229887.0,3560.0
228229344.0,3560.0
228229060.0,3560.0
228228971.0,3560.0
228229970.0,3560.0
228229714.0,3560.0
228229149.0,3560.0
