EVENT_NO_TRIP,EVENT_NO_STOP,OPD_DATE,VEHICLE_ID,METERS,ACT_TIME,GPS_LONGITUDE,GPS_LATITUDE,GPS_SATELLITES,GPS_HDOP
244834339,244834357,25JAN2023:00:00:00,4210,57454,65980,-122.579008,45.475963,12.0,0.8
244834339,244834358,25JAN2023:00:00:00,4210,57548,65990,-122.578993,45.476802,12.0,0.8
244834339,244834358,25JAN2023:00:00:00,4210,57589,65995,-122.578982,45.477258,12.0,1.0
244834339,244834359,25JAN2023:00:00:00,4210,57692,66005,-122.578967,45.478183,12.0,0.8
244834339,244834359,25JAN2023:00:00:00,4210,57745,66010,-122.578957,45.478655,12.0,0.8
244834339,244834359,25JAN2023:00:00:00,4210,57793,66015,-122.57895,45.479093,12.0,0.8
244834339,244834360,25JAN2023:00:00:00,4210,57888,66025,-122.578932,45.47995,12.0,1.0
244834339,244834360,25JAN2023:00:00:00,4210,57939,66030,-122.578923,45.480408,12.0,0.8
244834339,244834360,25JAN2023:00:00:00,4210,57988,66035,-122.578912,45.480857,12.0,0.8
244834339,244834361,25JAN2023:00:00:00,4210,58038,66040,-122.578905,45.48131,12.0,0.8
244834339,244834361,25JAN2023:00:00:00,4210,58088,66045,-122.578897,45.481762,12.0,0.8
244834339,244834361,25JAN2023:00:00:00,4210,58138,66050,-122.57889,45.482215,12.0,0.9
244834339,244834361,25JAN2023:00:00:00,4210,58186,66055,-122.578875,45.482655,12.0,0.8
244834339,244834361,25JAN2023:00:00:00,4210,58229,66060,-122.57887,45.483055,12.0,0.8
244834339,244834361,25JAN2023:00:00:00,4210,58251,66065,-122.578863,45.483265,12.0,0.8
244834339,244834362,25JAN2023:00:00:00,4210,58289,66155,-122.578862,45.483585,12.0,0.8
244834339,244834362,25JAN2023:00:00:00,4210,58333,66160,-122.578857,45.483978,12.0,0.8
244834339,244834362,25JAN2023:00:00:00,4210,58381,66165,-122.578852,45.484412,12.0,0.8
244834339,244834362,25JAN2023:00:00:00,4210,58429,66170,-122.57884,45.484853,12.0,0.8
244834339,244834362,25JAN2023:00:00:00,4210,58478,66175,-122.578833,45.485297,12.0,0.8
244834339,244834362,25JAN2023:00:00:00,4210,58514,66180,-122.578825,45.485643,12.0,0.8
244834339,244834363,25JAN2023:00:00:00,4210,58558,66205,-122.578818,45.486013,12.0,0.8
244834339,244834363,25JAN2023:00:00:00,4210,58600,66210,-122.578808,45.48641,12.0,0.8
244834339,244834364,25JAN2023:00:00:00,4210,58610,66240,-122.578807,45.48652,12.0,0.8
244834339,244834364,25JAN2023:00:00:00,4210,58646,66245,-122.578803,45.486803,12.0,0.8
244834339,244834364,25JAN2023:00:00:00,4210,58700,66250,-122.578798,45.487288,12.0,0.8
244834339,244834364,25JAN2023:00:00:00,4210,58744,66255,-122.578787,45.487713,12.0,0.8
244834339,244834364,25JAN2023:00:00:00,4210,58758,66260,-122.578775,45.487883,12.0,0.8
244834339,244834365,25JAN2023:00:00:00,4210,58827,66280,-122.57876,45.488435,12.0,0.8
244834339,244834365,25JAN2023:00:00:00,4210,58886,66285,-122.578745,45.488972,12.0,0.8
244834339,244834365,25JAN2023:00:00:00,4210,58941,66290,-122.578735,45.489485,12.0,1.0
244834339,244834365,25JAN2023:00:00:00,4210,58980,66295,-122.578727,45.489865,12.0,0.8
244834339,244834365,25JAN2023:00:00:00,4210,58996,66300,-122.578723,45.490042,12.0,0.9
244834339,244834365,25JAN2023:00:00:00,4210,58996,66303,-122.578723,45.490048,12.0,0.8
244834339,244834365,25JAN2023:00:00:00,4210,58996,66305,-122.578723,45.490048,12.0,0.8
244834339,244834365,25JAN2023:00:00:00,4210,59018,66310,-122.57872,45.4902,12.0,0.8
244834339,244834365,25JAN2023:00:00:00,4210,59057,66315,-122.578708,45.490553,12.0,1.0
244834339,244834365,25JAN2023:00:00:00,4210,59076,66320,-122.578697,45.490772,12.0,0.8
244834339,244834366,25JAN2023:00:00:00,4210,59147,66345,-122.578715,45.491437,12.0,0.8
244834339,244834366,25JAN2023:00:00:00,4210,59201,66350,-122.578687,45.49192,12.0,0.8
244834339,244834366,25JAN2023:00:00:00,4210,59242,66355,-122.57864,45.49229,12.0,0.8
244834339,244834366,25JAN2023:00:00:00,4210,59257,66360,-122.578633,45.492415,12.0,0.8
244834339,244834367,25JAN2023:00:00:00,4210,59305,66415,-122.578682,45.492862,12.0,1.0
244834339,244834367,25JAN2023:00:00:00,4210,59360,66420,-122.578678,45.49336,12.0,0.8
244834339,244834367,25JAN2023:00:00:00,4210,59409,66425,-122.578665,45.493795,12.0,0.8
244834339,244834367,25JAN2023:00:00:00,4210,59425,66430,-122.578655,45.493948,12.0,0.8
