EVENT_NO_TRIP,EVENT_NO_STOP,OPD_DATE,VEHICLE_ID,METERS,ACT_TIME,GPS_LONGITUDE,GPS_LATITUDE,GPS_SATELLITES,GPS_HDOP
240735329,240735331,18JAN2023:00:00:00,4210,8340,21757,-122.568617,45.479817,10.0,0.9
240735329,240735331,18JAN2023:00:00:00,4210,8386,21762,-122.56914,45.479978,10.0,1.3
240735329,240735331,18JAN2023:00:00:00,4210,8441,21767,-122.569775,45.480172,10.0,1.2
240735329,240735331,18JAN2023:00:00:00,4210,8500,21772,-122.570463,45.480395,10.0,0.8
240735329,240735332,18JAN2023:00:00:00,4210,8561,21777,-122.571192,45.480622,10.0,0.8
240735329,240735332,18JAN2023:00:00:00,4210,8622,21782,-122.571913,45.48083,11.0,0.8
240735329,240735332,18JAN2023:00:00:00,4210,8685,21787,-122.57267,45.48105,10.0,1.2
240735329,240735333,18JAN2023:00:00:00,4210,8733,21792,-122.573393,45.481258,11.0,1.2
240735329,240735333,18JAN2023:00:00:00,4210,8796,21797,-122.574165,45.481447,11.0,0.8
240735329,240735333,18JAN2023:00:00:00,4210,8859,21802,-122.574937,45.481635,11.0,0.8
240735329,240735333,18JAN2023:00:00:00,4210,8921,21807,-122.57569,45.481822,10.0,1.2
240735329,240735334,18JAN2023:00:00:00,4210,8981,21812,-122.576408,45.482,11.0,0.8
240735329,240735334,18JAN2023:00:00:00,4210,9032,21817,-122.577043,45.482155,10.0,0.8
240735329,240735334,18JAN2023:00:00:00,4210,9085,21822,-122.577672,45.48234,11.0,0.8
240735329,240735334,18JAN2023:00:00:00,4210,9142,21827,-122.578315,45.48259,11.0,0.8
240735329,240735334,18JAN2023:00:00:00,4210,9194,21832,-122.578902,45.482828,11.0,0.8
240735329,240735334,18JAN2023:00:00:00,4210,9236,21837,-122.579358,45.483037,11.0,1.2
240735329,240735334,18JAN2023:00:00:00,4210,9259,21842,-122.579607,45.483147,11.0,0.8
240735329,240735335,18JAN2023:00:00:00,4210,9326,21877,-122.580397,45.483415,11.0,0.8
240735329,240735335,18JAN2023:00:00:00,4210,9373,21882,-122.580932,45.483618,11.0,0.8
240735329,240735335,18JAN2023:00:00:00,4210,9421,21887,-122.581478,45.483828,11.0,0.8
240735329,240735335,18JAN2023:00:00:00,4210,9472,21892,-122.58205,45.484048,11.0,0.8
240735329,240735335,18JAN2023:00:00:00,4210,9524,21897,-122.58264,45.484278,11.0,0.8
240735329,240735335,18JAN2023:00:00:00,4210,9568,21902,-122.583142,45.484477,11.0,0.8
240735329,240735335,18JAN2023:00:00:00,4210,9588,21907,-122.583362,45.48457,11.0,0.8
240735329,240735336,18JAN2023:00:00:00,4210,9665,21932,-122.584258,45.484867,12.0,0.7
240735329,240735336,18JAN2023:00:00:00,4210,9721,21937,-122.58491,45.485085,12.0,0.7
240735329,240735336,18JAN2023:00:00:00,4210,9779,21942,-122.585588,45.485317,12.0,0.7
240735329,240735336,18JAN2023:00:00:00,4210,9839,21947,-122.58629,45.485553,12.0,0.7
240735329,240735336,18JAN2023:00:00:00,4210,9898,21952,-122.586973,45.485785,12.0,0.7
240735329,240735336,18JAN2023:00:00:00,4210,9959,21957,-122.587687,45.486025,12.0,0.7
240735329,240735336,18JAN2023:00:00:00,4210,10023,21962,-122.588427,45.48628,12.0,0.7
240735329,240735336,18JAN2023:00:00:00,4210,10083,21967,-122.58912,45.486533,12.0,0.7
240735329,240735336,18JAN2023:00:00:00,4210,10141,21972,-122.58977,45.486787,12.0,0.7
240735329,240735337,18JAN2023:00:00:00,4210,10203,21977,-122.590465,45.48707,12.0,0.8
240735329,240735337,18JAN2023:00:00:00,4210,10270,21982,-122.591217,45.487382,12.0,0.8
240735329,240735337,18JAN2023:00:00:00,4210,10340,21987,-122.591985,45.487705,12.0,0.7
240735329,240735337,18JAN2023:00:00:00,4210,10407,21992,-122.592735,45.488018,12.0,0.7
